date,gross_return,transaction_cost,turnover,return
2017-08-31,0.008731170728649932,0.0008147896895903802,1.0184871119879753,0.00791638103905955
2017-09-30,0.024438576072949025,0.0008691106250966132,1.0863882813707666,0.023569465447852413
2017-10-31,0.028659402579312338,0.0004089931687802793,0.5112414609753492,0.02825040941053206
2017-11-30,0.02338461423910808,0.0004385064790438099,0.5481330988047624,0.02294610776006427
2017-12-31,0.010823188848522555,0.0004183451703905709,0.5229314629882136,0.010404843678131985
2018-01-31,0.06811679616373104,0.000790223068665912,0.98777883583239,0.06732657309506512
2018-02-28,-0.026552755206363465,0.00018556562070389627,0.23195702587987035,-0.026738320827067362
2018-03-31,-0.03180378568220958,0.0001046413369575508,0.1308016711969385,-0.03190842701916713
2018-04-30,-6.329184693406893e-05,0.00041236684752685344,0.5154585594085668,-0.00047565869446092237
2018-05-31,0.03250616652201183,0.0005617889048753663,0.7022361310942078,0.03194437761713646
2018-06-30,0.004204824219121871,0.0008451405929094319,1.0564257411367899,0.003359683626212439
2018-07-31,0.028857445563620444,0.00039067274304021606,0.4883409288002701,0.02846677282058023
2018-08-31,0.0407080672090526,0.00029366050872193795,0.3670756359024224,0.04041440670033066
2018-09-30,0.00839471131901143,0.0008724022584038447,1.090502823004806,0.0075223090606075845
2018-10-31,-0.0689062103218254,0.000983659988805994,1.2295749860074925,-0.06988987031063139
2018-11-30,0.03451803486578389,0.0007848294347555432,0.9810367934444291,0.03373320543102835
2018-12-31,-0.07315899848231863,4.715482209765594e-05,0.05894352762206992,-0.0732061533044163
2019-01-31,0.0526873521962865,0.0003127947283717329,0.3909934104646661,0.052374557467914765
2019-02-28,0.02290834362415206,0.00042968456278948705,0.5371057034868588,0.022478659061362573
2019-03-31,0.007951841922579916,0.0005222584910031403,0.6528231137539254,0.007429583431576776
2019-04-30,0.016728818514914742,0.0007672622627312249,0.9590778284140311,0.01596155625218352
2019-05-31,-0.07739216337982888,0.001270838768506213,1.5885484606327662,-0.07866300214833509
2019-06-30,0.07342669042305743,0.0005226097634608582,0.6532622043260727,0.07290408065959657
2019-07-31,0.0060222317269914075,0.0005432672106212607,0.6790840132765759,0.0054789645163701465
2019-08-31,-0.027410847077058098,0.000845240831697426,1.0565510396217825,-0.028256087908755525
2019-09-30,0.0230142472245859,0.0011605362832713627,1.4506703540892034,0.02185371094131454
2019-10-31,0.008639965571330416,0.00042414411518356657,0.5301801439794582,0.00821582145614685
2019-11-30,0.016816301065335167,0.0004434366508307729,0.5542958135384661,0.016372864414504393
2019-12-31,0.032424205048335444,0.0004328953012789878,0.5411191265987347,0.031991309747056454
2020-01-31,0.02128707461985975,0.0004954566845766325,0.6193208557207907,0.020791617935283117
2020-02-29,-0.08367716707914266,0.00047602374788200807,0.5950296848525101,-0.08415319082702467
2020-03-31,-0.11827673413587952,0.0009016376865204788,1.1270471081505984,-0.1191783718224
2020-04-30,0.0918342106564752,0.0008372126086241995,1.0465157607802493,0.090996998047851
2020-05-31,0.060089509511579785,0.00081158596897329,1.0144824612166126,0.0592779235426065
2020-06-30,0.0253121301229984,0.00014379262218614522,0.17974077773268152,0.025168337500812252
2020-07-31,0.06319343766019533,0.0004294708927869612,0.5368386159837015,0.06276396676740838
2020-08-31,0.06871822512455093,5.8540421294893454e-05,0.07317552661861682,0.06865968470325604
2020-09-30,-0.02316072985638936,0.00047052056407052357,0.5881507050881545,-0.023631250420459885
2020-10-31,-0.0365835215473108,0.0004500731066689698,0.5625913833362123,-0.03703359465397977
2020-11-30,0.07998658246221957,0.0007945935738917143,0.9932419673646429,0.07919198888832786
