Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPY
2017-09-11,23.357975006103516,22.343713760375977,20.791934967041016,59.34055709838867,26.957921981811523,43.82213592529297,21.176319122314453,71.79696655273438,41.11655807495117,217.1529541015625
2017-09-12,23.554964065551758,22.481191635131836,21.037843704223633,59.62492370605469,27.022062301635742,43.91701126098633,20.823564529418945,71.95232391357422,41.30002212524414,217.8849639892578
2017-09-13,23.54658317565918,22.763023376464844,21.071760177612305,59.53874206542969,26.98540496826172,43.94074249267578,20.721155166625977,71.68476104736328,41.59817123413086,217.9894561767578
2017-09-14,23.626209259033203,22.87300682067871,21.029361724853516,59.82310485839844,26.8937931060791,43.85377883911133,20.895631790161133,71.7796859741211,41.373416900634766,217.91981506347656
2017-09-15,23.627058029174805,22.926977157592773,21.091527938842773,60.070701599121094,27.003664016723633,43.93014907836914,20.925058364868164,71.55010986328125,41.257415771484375,218.21311950683594
2017-09-18,23.757688522338867,23.024478912353516,21.338457107543945,60.40834045410156,27.026653289794922,43.99378204345703,20.711034774780273,71.53278350830078,41.114723205566406,218.67726135253906
2017-09-19,23.879892349243164,23.118501663208008,21.500242233276367,60.468929290771484,27.146175384521484,43.858543395996094,20.66899871826172,70.96968078613281,41.07789611816406,218.8961944580078
2017-09-20,23.964162826538086,23.27520179748535,21.627971649169922,60.910430908203125,27.035844802856445,43.43690872192383,20.5161190032959,71.03899383544922,41.21598434448242,218.97499084472656
2017-09-21,23.913597106933594,23.282163619995117,21.67905616760254,61.09223556518555,26.888731002807617,43.023216247558594,20.512290954589844,70.67514038085938,41.146949768066406,218.38827514648438
2017-09-22,23.829322814941406,23.400558471679688,21.653512954711914,61.24805450439453,26.90252685546875,42.895931243896484,20.34412956237793,70.67514038085938,41.21598434448242,218.4320831298828
2017-09-25,23.871458053588867,23.73833656311035,21.627971649169922,61.24805450439453,26.585329055786133,43.20619583129883,20.531402587890625,70.46721649169922,41.128536224365234,217.98541259765625
2017-09-26,23.766115188598633,23.727888107299805,21.61944580078125,61.24805450439453,26.68187141418457,43.309608459472656,20.493175506591797,70.35456085205078,41.133140563964844,218.11679077148438
