,ML Signal Blend,Equal-Weight Sectors,6M Momentum Top 3,SPY Buy & Hold
2024-06-30,22489.91054186936,27018.295071948072,24758.160243483442,31313.37065257519
2024-07-31,22532.699968795292,27875.690039042845,25175.185877370594,31692.54887505312
2024-08-31,22842.79692141502,28618.89711978911,26171.823788502432,32433.062651396915
2024-09-30,23097.33834926027,29206.95578046159,26783.590689283126,33114.31122942479
2024-10-31,22662.163624245804,28774.79917669713,26208.31084863658,32818.80995926416
2024-11-30,24413.26899309422,30484.083275008506,27875.636221450746,34775.909743922224
2024-12-31,23321.194352420473,28718.443737293514,26695.45915106553,33939.197592674056
2025-01-31,24361.245047759123,29746.273840472524,27826.98856080454,34850.683290659996
2025-02-28,24430.028216981023,29837.637956540424,27157.047595279768,34408.25610683802
2025-03-31,23898.37221124475,28973.857930196657,26031.787265302995,32491.058495876685
2025-04-30,22730.75505377931,28322.65300712751,24635.63426050487,32209.35158788458
2025-05-31,23922.70025496232,29436.212921417497,25781.91601348517,34233.54783859344
2025-06-30,25124.46699077538,30300.822446561597,25933.068308084465,35992.678625246794
2025-07-31,25745.27976913239,30692.399705932396,26917.63650604482,36821.64556664729
2025-08-31,25753.219698846173,31426.164409974393,26766.343710293848,37577.20871601455
2025-09-30,26771.467527491728,31911.740927003106,27974.125050781506,38915.72440750492
2025-10-31,27142.30293261778,31980.543375369933,28643.28904616352,39843.371059557285
2025-11-30,27492.238536797042,32575.313716726665,27961.68538185004,39921.066988714425
2025-12-31,27086.95974316883,32580.67321310665,27844.978208969485,39952.90482123179
2026-01-31,27651.651097958224,33928.728288596736,27957.532201745962,40541.720056920145
2026-02-28,29571.69406388706,35278.63964696489,29928.616248866216,40191.36046941711
2026-03-31,29197.266288151663,33786.25680342118,29285.691276717367,38206.7293323468
2026-04-30,30795.17576221017,35551.91267567419,29495.14457971332,42220.44767671497
