date,SPY,IWM,EFA,EEM,AGG,BIL,SHY,IEF,TLT,TIP,LQD,HYG,GLD,DBC
1993-12-03,26.1049480438,,,,,,,,,,,,,
1993-12-06,26.1922588348,,,,,,,,,,,,,
1993-12-07,26.1747779846,,,,,,,,,,,,,
1993-12-08,26.1747779846,,,,,,,,,,,,,
1993-12-09,26.0874824524,,,,,,,,,,,,,
1993-12-10,26.0351028442,,,,,,,,,,,,,
1993-12-13,26.1922588348,,,,,,,,,,,,,
1993-12-14,26.0001831055,,,,,,,,,,,,,
1993-12-15,25.9652595520,,,,,,,,,,,,,
1993-12-16,26.0525474548,,,,,,,,,,,,,
1993-12-17,26.1957550049,,,,,,,,,,,,,
1993-12-20,26.2308883667,,,,,,,,,,,,,
1993-12-21,26.1430015564,,,,,,,,,,,,,
1993-12-22,26.3188037872,,,,,,,,,,,,,
1993-12-23,26.3012199402,,,,,,,,,,,,,
1993-12-27,26.4418601990,,,,,,,,,,,,,
1993-12-28,26.4946079254,,,,,,,,,,,,,
1993-12-29,26.4594478607,,,,,,,,,,,,,
1993-12-30,26.3539752960,,,,,,,,,,,,,
1993-12-31,26.2133064270,,,,,,,,,,,,,
1994-01-03,26.1430015564,,,,,,,,,,,,,
1994-01-04,26.2484760284,,,,,,,,,,,,,
1994-01-05,26.3012199402,,,,,,,,,,,,,
1994-01-06,26.3012199402,,,,,,,,,,,,,
1994-01-07,26.4594478607,,,,,,,,,,,,,
1994-01-10,26.7759017944,,,,,,,,,,,,,
1994-01-11,26.7231731415,,,,,,,,,,,,,
1994-01-12,26.6352577209,,,,,,,,,,,,,
1994-01-13,26.5649471283,,,,,,,,,,,,,
1994-01-14,26.6704216003,,,,,,,,,,,,,
1994-01-17,26.6704216003,,,,,,,,,,,,,
1994-01-18,26.7055797577,,,,,,,,,,,,,
1994-01-19,26.6352577209,,,,,,,,,,,,,
1994-01-20,26.7055797577,,,,,,,,,,,,,
1994-01-21,26.6528453827,,,,,,,,,,,,,
1994-01-24,26.5473670959,,,,,,,,,,,,,
1994-01-25,26.5473670959,,,,,,,,,,,,,
1994-01-26,26.6176795959,,,,,,,,,,,,,
1994-01-27,26.8638267517,,,,,,,,,,,,,
1994-01-28,26.9341316223,,,,,,,,,,,,,
1994-01-31,27.1275367737,,,,,,,,,,,,,
1994-02-01,26.9868907928,,,,,,,,,,,,,
1994-02-02,27.1626873016,,,,,,,,,,,,,
1994-02-03,27.0396347046,,,,,,,,,,,,,
1994-02-04,26.4242935181,,,,,,,,,,,,,
1994-02-07,26.5473670959,,,,,,,,,,,,,
1994-02-08,26.5649471283,,,,,,,,,,,,,
1994-02-09,26.6704216003,,,,,,,,,,,,,
1994-02-10,26.4418601990,,,,,,,,,,,,,
1994-02-11,26.5297756195,,,,,,,,,,,,,
1994-02-14,26.5649471283,,,,,,,,,,,,,
1994-02-15,26.7055797577,,,,,,,,,,,,,
1994-02-16,26.6880073547,,,,,,,,,,,,,
1994-02-17,26.5297756195,,,,,,,,,,,,,
1994-02-18,26.3715457916,,,,,,,,,,,,,
1994-02-22,26.6352577209,,,,,,,,,,,,,
1994-02-23,26.5649471283,,,,,,,,,,,,,
1994-02-24,26.2133064270,,,,,,,,,,,,,
1994-02-25,26.3363761902,,,,,,,,,,,,,
1994-02-28,26.3363761902,,,,,,,,,,,,,
1994-03-01,26.2308883667,,,,,,,,,,,,,
1994-03-02,26.2660770416,,,,,,,,,,,,,
1994-03-03,26.1957550049,,,,,,,,,,,,,
1994-03-04,26.2660770416,,,,,,,,,,,,,
1994-03-07,26.4067077637,,,,,,,,,,,,,
1994-03-08,26.3012199402,,,,,,,,,,,,,
1994-03-09,26.4242935181,,,,,,,,,,,,,
1994-03-10,26.2133064270,,,,,,,,,,,,,
1994-03-11,26.3539752960,,,,,,,,,,,,,
1994-03-14,26.3891334534,,,,,,,,,,,,,
1994-03-15,26.3715457916,,,,,,,,,,,,,
1994-03-16,26.5825138092,,,,,,,,,,,,,
1994-03-17,26.5825138092,,,,,,,,,,,,,
1994-03-18,26.5767154694,,,,,,,,,,,,,
1994-03-21,26.5059890747,,,,,,,,,,,,,
1994-03-22,26.5767154694,,,,,,,,,,,,,
1994-03-23,26.5590381622,,,,,,,,,,,,,
1994-03-24,26.2407627106,,,,,,,,,,,,,
1994-03-25,25.9932022095,,,,,,,,,,,,,
1994-03-28,26.0285701752,,,,,,,,,,,,,
1994-03-29,25.5157814026,,,,,,,,,,,,,
1994-03-30,25.1621246338,,,,,,,,,,,,,
1994-03-31,25.2328720093,,,,,,,,,,,,,
1994-04-04,24.8438434601,,,,,,,,,,,,,
1994-04-05,25.3566455841,,,,,,,,,,,,,
1994-04-06,25.3566455841,,,,,,,,,,,,,
1994-04-07,25.4804058075,,,,,,,,,,,,,
1994-04-08,25.2859058380,,,,,,,,,,,,,
1994-04-11,25.3920059204,,,,,,,,,,,,,
1994-04-12,25.3566455841,,,,,,,,,,,,,
1994-04-13,25.2240314484,,,,,,,,,,,,,
1994-04-14,25.2328720093,,,,,,,,,,,,,
1994-04-15,25.2328720093,,,,,,,,,,,,,
1994-04-18,25.0648670197,,,,,,,,,,,,,
1994-04-19,25.1002388000,,,,,,,,,,,,,
1994-04-20,25.0737285614,,,,,,,,,,,,,
