Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2019-10-10,50.30958938598633,43.71178436279297,24.540042877197266,68.82054138183594,76.50973510742188,52.647003173828125,53.9000129699707,81.1907730102539,113.55828094482422
2019-10-11,51.28429412841797,44.301025390625,24.84555435180664,70.11698913574219,77.56523895263672,52.59513854980469,53.698387145996094,81.86431884765625,114.84395599365234
2019-10-14,50.91766357421875,44.27806854248047,24.881498336791992,69.98003387451172,77.51769256591797,52.33578872680664,53.35395050048828,81.8279037475586,114.78681182861328
2019-10-15,51.27535629272461,44.46174240112305,25.240928649902344,70.54606628417969,78.37349700927734,52.11102294921875,53.18593978881836,83.32066345214844,115.79629516601562
2019-10-16,51.382659912109375,43.84187698364258,25.178024291992188,70.50956726074219,77.83148193359375,52.162899017333984,53.30354690551758,83.21142578125,116.27249145507812
2019-10-17,51.51679229736328,43.87248611450195,25.19599723815918,70.85649871826172,77.67932891845703,52.40494918823242,53.43796157836914,83.83036804199219,116.57723236083984
2019-10-18,51.42738342285156,43.642913818359375,25.258899688720703,70.24480438232422,76.93761444091797,52.50868225097656,53.614383697509766,83.52090454101562,116.34867858886719
2019-10-21,51.26641845703125,44.42347717285156,25.60934066772461,70.6647720336914,77.76492309570312,52.68157958984375,53.82440185546875,83.42988586425781,116.75819396972656
2019-10-22,51.051795959472656,44.9974250793457,25.53745460510254,71.2217025756836,76.71892547607422,52.69887161254883,54.05122756958008,83.6119155883789,116.01534271240234
2019-10-23,51.37371826171875,45.37240982055664,25.645286560058594,71.2125473022461,76.78549194335938,52.940921783447266,54.26964569091797,84.1307373046875,115.48202514648438
2019-10-24,51.53468704223633,45.181095123291016,25.60934066772461,71.31299591064453,77.90754699707031,53.12247085571289,54.4544677734375,83.70294952392578,115.4249038696289
2019-10-25,52.098052978515625,45.54841232299805,25.73514175415039,71.76036071777344,78.84895324707031,52.811256408691406,53.9000129699707,83.7939682006836,115.29156494140625
2019-10-28,52.259010314941406,45.2882194519043,25.86992835998535,71.96121215820312,79.84741973876953,52.70751190185547,53.16073226928711,84.6586685180664,115.65348052978516
2019-10-29,52.5809326171875,45.471885681152344,25.932830810546875,72.19855499267578,79.1247329711914,52.70751190185547,53.21113204956055,85.86015319824219,114.99633026123047
2019-10-30,52.625640869140625,44.54592514038086,25.914859771728516,72.45423126220703,79.60966491699219,52.9495735168457,53.68159103393555,86.34254455566406,115.71060180664062
2019-10-31,52.03545379638672,44.35459899902344,25.789052963256836,71.67817687988281,79.5621337890625,52.87176513671875,53.975616455078125,86.242431640625,115.0915756225586
2019-11-01,52.76872634887695,45.36475372314453,26.166461944580078,73.23939514160156,80.5130386352539,52.86313247680664,53.84120559692383,86.3516616821289,115.85343933105469
